letter,language,coverage,title,id,file
T,"Telugu",Full Bible,"ఇండియన్ రివైజ్డ్ వెర్షన్ (IRV) - తెలుగు -2019",tel2017,T/Telugu/Full Bible — ఇండియన్ రివైజ్డ్ వెర్షన్ (IRV) - తెలుగు -2019.html
K,"Korean",Full Bible,"한국어 성경",kor,K/Korean/Full Bible — 한국어 성경.html
B,"Boko",Full Bible,"Bibeli Luayãtaalá",bqcsim,B/Boko/Full Bible — Bibeli Luayãtaalá.html
G,"Gofa",Full Bible,"Geeshsha Maxaafa",gofl,G/Gofa/Full Bible — Geeshsha Maxaafa.html
G,"Goofa",Full Bible,"ጌሻ ማፃፋ",gofe,G/Goofa/Full Bible — ጌሻ ማፃፋ.html
M,"Mandarin Chinese",Full Bible,"Biblica® 圣经当代译本开放资源",cmncbs,M/Mandarin Chinese/Full Bible — Biblica® 圣经当代译本开放资源.html
M,"Mandarin Chinese",Full Bible,"Biblica® 聖經，當代譯本開放資源",cmncbt,M/Mandarin Chinese/Full Bible — Biblica® 聖經，當代譯本開放資源.html
K,"Kosraean",Full Bible,"BIBLE MUTAL",kos,K/Kosraean/Full Bible — BIBLE MUTAL.html
#,"മലയാളം",Full Bible,"Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം",malc,#/മലയാളം/Full Bible — Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം.html
T,"Telugu",Full Bible,"Biblica® ఉచిత తెలుగు సమకాలీన అనువాదం",telotsa,T/Telugu/Full Bible — Biblica® ఉచిత తెలుగు సమకాలీన అనువాదం.html
G,"Gamo",Full Bible,"ጌሻ ማጻፋ",gmve,G/Gamo/Full Bible — ጌሻ ማጻፋ.html
G,"Gamo",Full Bible,"Geeshsha Mexaafa",gmvl,G/Gamo/Full Bible — Geeshsha Mexaafa.html
